layer,neuron,change_score
31,3691,1.5528879165649414
31,4791,1.552711009979248
31,6575,1.5515528917312622
31,122,1.548870325088501
31,7592,1.5480177402496338
30,7708,1.5458368062973022
30,1297,1.5457892417907715
31,7598,1.542984962463379
30,13017,1.5411291122436523
30,903,1.5408436059951782
31,5041,1.5393431186676025
31,10806,1.539207100868225
31,1678,1.5382697582244873
30,3776,1.5370705127716064
30,10641,1.535494327545166
31,8998,1.5354526042938232
30,13140,1.5350421667099
31,4788,1.5348972082138062
31,13802,1.5345851182937622
30,8057,1.5289050340652466
31,11084,1.5287020206451416
30,11819,1.5277131795883179
31,8047,1.52683687210083
30,1464,1.526528000831604
31,14108,1.525302529335022
30,11055,1.5229724645614624
31,74,1.5214823484420776
31,2266,1.5214585065841675
30,6764,1.5213770866394043
31,8154,1.5211858749389648
31,4046,1.5203452110290527
30,9657,1.520163893699646
31,8792,1.5199772119522095
30,3724,1.5190426111221313
31,8984,1.5169553756713867
31,9125,1.5158179998397827
31,7944,1.5156161785125732
31,10674,1.5138243436813354
31,233,1.5130856037139893
29,2736,1.510636329650879
31,890,1.5103999376296997
29,6070,1.5095553398132324
31,11433,1.5092195272445679
30,8366,1.5078506469726562
30,6204,1.5069966316223145
30,13953,1.5067373514175415
30,35,1.5064030885696411
31,2009,1.5050373077392578
31,5322,1.5042154788970947
31,13575,1.50393807888031
31,8784,1.5035258531570435
30,5081,1.4976818561553955
30,7668,1.4973182678222656
30,8570,1.4948267936706543
31,4695,1.4916034936904907
30,7595,1.4914606809616089
30,6937,1.491060495376587
31,6227,1.4908415079116821
31,11222,1.4859966039657593
31,11989,1.4809279441833496
29,12217,1.4794420003890991
30,1823,1.4792057275772095
31,12514,1.4743863344192505
31,10030,1.472723364830017
31,13062,1.4715510606765747
30,12787,1.4706774950027466
30,10173,1.46891450881958
29,11492,1.4681264162063599
30,12573,1.4674103260040283
30,6742,1.4641722440719604
31,8382,1.4626500606536865
30,8070,1.4594241380691528
29,10726,1.456963300704956
31,9995,1.4561445713043213
31,2552,1.4534319639205933
31,1236,1.4514210224151611
31,2221,1.4510732889175415
30,10853,1.4467883110046387
30,8652,1.4455597400665283
31,8855,1.4434791803359985
31,12446,1.4410984516143799
30,7577,1.43866765499115
30,4346,1.4382331371307373
31,6677,1.4365626573562622
30,10339,1.4357585906982422
30,9032,1.4307847023010254
30,1793,1.430506944656372
31,12525,1.4304794073104858
30,2019,1.4304364919662476
30,4796,1.4285887479782104
31,2223,1.4282149076461792
31,9974,1.4258320331573486
30,1119,1.424072265625
31,9837,1.4240527153015137
31,2536,1.4213052988052368
28,11567,1.4180225133895874
31,13457,1.4174398183822632
30,5854,1.4171890020370483
31,4428,1.4170538187026978
31,8300,1.4156891107559204
31,4577,1.414140224456787
31,4064,1.4117769002914429
30,13168,1.411190152168274
30,5752,1.4092037677764893
31,5231,1.4086612462997437
30,6240,1.4069304466247559
31,6072,1.4062235355377197
31,5193,1.405906081199646
31,102,1.4056499004364014
31,10334,1.404971718788147
31,537,1.404842495918274
